Employee_ID,AIC_unitless,MAPE_%,RMSE_$,ARIMA_order,Seasonal_order
146,3462.19,1.45,140.82,"(1,1,1)","(12,1,12,12)"
147,3575.26,0.77,120.63,"(1,1,1)","(12,1,12,12)"
148,3523.31,1.65,158.22,"(1,1,1)","(12,1,12,12)"
149,2399.0,2.5,2026.52,"(1,1,1)","(12,1,12,12)"
150,3680.32,1.13,191.08,"(1,1,1)","(12,1,12,12)"
151,3344.48,1.03,110.31,"(1,1,1)","(12,1,12,12)"
152,3396.72,1.4,168.15,"(1,1,1)","(12,1,12,12)"
153,3350.53,0.75,91.95,"(1,1,1)","(12,1,12,12)"
154,3400.24,1.47,186.45,"(1,1,1)","(12,1,12,12)"
155,3419.27,2.55,230.94,"(1,1,1)","(12,1,12,12)"
156,4139.72,5.17,3076.6,"(1,1,1)","(12,1,12,12)"
